repo_name,stars,forks,pushes,prs,issues,distinct_actors,active_days,total_events,is_ai
codecrafters-io/build-your-own-x,95256,8663,5,77,236,99492,327,104237,false
deepseek-ai/deepseek-r1,86728,11240,19,83,1122,93375,306,99192,false
deepseek-ai/deepseek-v3,84948,14788,28,279,1117,94313,326,101160,false
unionlabs/union,79455,3383,4856,2238,508,72161,316,90440,false
n8n-io/n8n,74695,30313,23995,6225,6443,102050,328,141671,false
x1xhlol/system-prompts-and-models-of-ai-tools,68406,17564,254,135,154,79208,260,86513,false
langflow-ai/langflow,63830,2791,12578,6663,1670,64927,329,87532,false
digitalplatdev/freedomain,60756,802,19,28,6561,57422,312,68166,false
punkpeye/awesome-mcp-servers,58710,4657,680,1681,158,61218,323,65886,false
sindresorhus/awesome,58592,3041,31,179,189,59834,327,62032,false
browser-use/browser-use,56182,7007,3394,2670,1782,60360,325,71035,false
langgenius/dify,52407,8654,7400,6484,14082,59524,327,89027,false
modelcontextprotocol/servers,52307,6125,855,2740,756,56805,326,62783,false
open-webui/open-webui,50868,8652,2993,4030,4192,58388,326,70735,false
google-gemini/gemini-cli,49100,5190,6495,3846,9455,54615,153,74086,false
shubhamsaboo/awesome-llm-apps,47167,5552,212,308,144,50402,325,53383,false
ollama/ollama,44259,4446,2483,1825,4707,48905,326,57720,true
public-apis/public-apis,43107,3979,2,357,241,45476,328,47686,false
mannaandpoem/openmanus,42603,7275,249,592,819,46429,189,51538,false
tapxworld/chinatextbook,40993,8376,5,43,129,45735,320,49546,false
inkonchain/node,40821,612,19,28,28,39835,257,41508,false
microsoft/markitdown,40685,2562,186,301,420,42187,326,44154,false
inkonchain/docs,40589,435,311,340,18,39905,275,41693,false
inkonchain/ink-kit,40393,401,60,61,6,39671,265,40921,false
awesome-selfhosted/awesome-selfhosted,37615,1458,170,3,10,38238,326,39256,false
massgravel/microsoft-activation-scripts,36958,3554,139,22,457,38873,327,41130,false
openai/codex,36867,4086,7538,3737,4292,40637,222,56520,false
yeongpin/cursor-free-vip,34680,3841,377,184,1427,36988,316,40509,false
infiniflow/ragflow,34170,3659,1785,4274,4257,36570,326,48145,false
donnemartin/system-design-primer,33169,4419,3,48,62,35982,325,37701,false
practical-tutorials/project-based-learning,32830,4359,0,43,27,35665,326,37259,false
microsoft/ai-agents-for-beginners,32826,9817,248,400,129,40165,281,43420,false
kamranahmedse/developer-roadmap,32803,3410,1469,1214,664,35117,325,39560,false
vinta/awesome-python,32662,1423,7,160,0,33299,328,34252,false
trimstray/the-book-of-secret-knowledge,32116,1598,0,44,0,32838,328,33758,false
virattt/ai-hedge-fund,31276,5588,261,330,323,34531,324,37778,false
deepseek-ai/awesome-deepseek-integration,30624,3421,208,562,111,32552,322,34926,false
yt-dlp/yt-dlp,30226,2616,464,1209,3499,32943,328,38014,false
cline/cline,30184,3298,7107,4070,3047,33244,327,47706,false
unclecode/crawl4ai,30179,3366,452,331,802,32353,324,35130,false
hacksider/deep-live-cam,29709,4129,129,198,717,32501,325,34882,false
astral-sh/uv,29649,961,5771,4234,4635,31680,325,45250,false
rasbt/llms-from-scratch,29128,4586,362,339,108,32123,326,34523,false
clash-verge-rev/clash-verge-rev,28851,2186,1681,607,3662,30876,327,36987,false
pathwaycom/pathway,28849,778,521,9,59,28325,327,30216,false
521xueweihan/hellogithub,28193,922,35,9,215,28373,325,29374,false
linera-io/linera-protocol,27944,1648,3161,1864,572,27405,322,35189,false
microsoft/generative-ai-for-beginners,27863,15052,166,372,101,40081,326,43554,false
cherryhq/cherry-studio,27259,2669,4659,4270,10803,30860,328,49660,false
anthropics/claude-code,26003,1587,159,205,16027,31513,275,43981,false
pathwaycom/llm-app,25925,566,30,3,2,25487,326,26526,false
patrickjs/awesome-cursorrules,25202,2161,53,98,35,26349,324,27549,false
opencut-app/opencut,25159,2368,359,429,184,26721,155,28499,false
ebookfoundation/free-programming-books,25149,2552,278,962,146,26900,327,29087,false
comfyanonymous/comfyui,24483,3078,1369,1617,3362,28109,327,33909,true
zie619/n8n-workflows,23941,6669,36,66,77,29067,182,30789,false
huggingface/open-r1,23802,2303,706,439,449,24993,291,27699,false
github/spec-kit,23664,1546,156,237,417,24880,89,26020,false
jingyaogong/minimind,23311,2400,86,43,558,24303,325,26398,false
unslothai/unsloth,23237,2091,1719,565,2354,25199,325,29966,true
upstash/context7,23096,1104,243,224,933,24109,239,25600,false
mendableai/firecrawl,22813,2282,1817,992,378,24218,228,28282,false
vllm-project/vllm,22471,4341,6629,15572,9349,28479,328,58362,true
anduin2017/howtocook,22146,1632,191,236,139,22860,326,24344,false
ladybirdbrowser/ladybird,22025,951,1881,4238,872,22668,326,29967,false
harry0703/moneyprinterturbo,21803,2695,43,95,172,23336,325,24808,false
ruanyf/weekly,21745,527,51,21,1743,22643,326,24087,false
freecodecamp/freecodecamp,21031,3782,1940,5421,3027,23926,327,35201,false
davidhdev/react-bits,20942,826,474,234,575,21395,326,23051,false
all-hands-ai/openhands,20703,2759,11819,5399,2514,22859,290,43194,false
immich-app/immich,20267,1195,10042,4564,3491,22200,326,39559,false
mlabonne/llm-course,20221,2178,10,7,17,21518,326,22433,false
jwasham/coding-interview-university,19956,3887,0,24,40,22562,324,23907,false
9001/copyparty,19821,761,390,151,552,20403,299,21675,false
huggingface/agents-course,19760,1313,476,618,213,20264,284,22380,false
huggingface/smolagents,19743,1773,1457,1613,934,20875,325,25520,false
microsoft/typescript-go,19671,650,1873,1339,624,19963,257,24157,false
yuaotian/go-cursor-help,19258,2186,173,57,858,20422,322,22532,false
hiyouga/llama-factory,19135,2289,527,844,3007,21468,326,25802,true
opendatalab/mineru,18875,1728,754,1150,1697,20274,326,24204,false
torvalds/linux,18823,3642,647,523,0,21204,326,23635,false
github/github-mcp-server,18723,1849,770,652,592,20278,232,22586,false
f/awesome-chatgpt-prompts,18690,2159,387,245,0,20055,325,21481,false
sst/opencode,18534,1225,2910,1322,3453,20071,196,27444,false
avelino/awesome-go,18390,689,146,361,73,18769,326,19659,false
langchain-ai/langchain,18325,3043,3626,5189,1604,21209,326,31787,true
rustdesk/rustdesk,18307,7833,482,1289,816,22973,326,28727,false
mintplex-labs/anything-llm,18225,1963,1120,744,1766,19931,325,23818,false
excalidraw/excalidraw,17494,2404,1461,610,745,19537,325,22714,false
juspay/hyperswitch,17467,2519,10227,2630,1578,18461,327,34421,false
ossu/computer-science,17460,2096,22,64,32,18817,326,19674,false
stirling-tools/stirling-pdf,17161,1579,3502,2958,694,18355,326,25894,false
glanceapp/glance,17155,732,143,205,363,17551,325,18598,false
microsoft/omniparser,16882,1461,36,60,181,17763,317,18620,false
block/goose,16797,1343,9605,4749,1672,17889,327,34166,false
eyaltoledano/claude-task-master,16750,1688,951,799,749,17835,248,20937,false
shadcn-ui/ui,16705,1856,796,1460,1214,18807,326,22031,false
microsoft/playwright-mcp,16654,1221,327,809,857,17699,248,19868,false
ghostty-org/ghostty,16418,714,1374,2080,1196,16842,326,21782,false
ripienaar/free-for-dev,16326,1459,116,407,0,17247,326,18308,false
dzhng/deep-research,16262,1721,46,82,119,17185,287,18230,false
camel-ai/owl,16261,1910,419,292,634,17433,254,19516,false
lobehub/lobe-chat,16140,4665,6824,3399,3594,19748,328,34622,false
bytedance/ui-tars-desktop,16108,1463,3938,1513,558,17042,305,23580,false
nari-labs/dia,15947,1303,68,129,224,16738,211,17671,false
maybe-finance/maybe,15889,1589,862,715,494,16979,320,19549,false
78/xiaozhi-esp32,15838,3052,455,776,894,17680,326,21015,false
max-eee/neopass,15562,44,27,5,67,14906,303,15705,false
voideditor/void,15419,1290,1308,447,528,16374,324,18992,false
deepseek-ai/janus,15270,2076,5,31,167,16711,286,17549,false
kortix-ai/suna,15232,2518,1131,1005,1227,16870,220,21113,false
ocrmypdf/ocrmypdf,15156,1010,41,42,109,15689,322,16358,false
zama-ai/fhevm,15026,639,1999,846,111,14903,211,18621,false
th-ch/youtube-music,14996,835,837,775,555,15706,261,17998,false
modelcontextprotocol/python-sdk,14758,1985,855,853,964,16553,325,19415,false
fosowl/agenticseek,14738,1512,595,322,230,15712,271,17397,false
bytedance/deer-flow,14713,1742,223,359,401,15521,199,17438,false
zed-industries/zed,14534,1961,19174,14577,10291,18379,327,60537,false
asgeirtj/system_prompts_leaks,14525,2347,142,30,8,16121,204,17052,false
google/a2a,14493,1401,454,572,293,15374,49,17213,false
jlowin/fastmcp,14411,962,1459,1474,1291,15288,324,19597,false
deepseek-ai/deepseek-coder,14371,1953,1,22,298,15726,317,16645,false
byaidu/pdfmathtranslate,14356,1354,132,233,870,15286,313,16945,false
mem0ai/mem0,14334,1676,809,1261,594,15655,327,18674,false
patchy631/ai-engineering-hub,14151,2163,194,163,31,15567,326,16702,false
zen-browser/desktop,14138,647,3088,810,8406,16656,325,27089,false
2dust/v2rayn,14131,1625,59,160,1057,15513,325,17032,false
openbb-finance/openbb,14116,1375,779,330,89,15022,325,16689,false
lllyasviel/framepack,14000,1189,19,57,536,14917,214,15801,false
mastra-ai/mastra,13947,919,21273,7312,4606,14620,329,48057,false
nanmicoder/mediacrawler,13911,2126,70,79,194,15147,324,16380,false
tauricresearch/tradingagents,13863,2399,14,96,120,15631,226,16492,false
kvcache-ai/ktransformers,13585,962,527,588,1172,14188,312,16834,false
openai/whisper,13471,1959,14,74,0,15007,326,15518,true
docling-project/docling,13438,1083,744,459,886,14595,254,16610,false
allenai/olmocr,13334,915,797,147,352,13921,278,15545,false
khoj-ai/khoj,13301,941,487,129,119,13784,324,14977,false
jackfrued/python-100-days,13298,2246,71,71,43,14405,325,15729,false
thealgorithms/python,13247,2561,182,1526,117,15293,328,17633,false
getzep/graphiti,13227,1191,709,665,303,14041,324,16095,false
agno-agi/agno,13158,1574,6830,2472,1789,14510,296,25823,false
openai/openai-agents-python,13087,2080,2168,1396,1335,14775,257,20066,false
supabase/supabase,13078,2548,9763,5412,1729,15888,327,32530,false
huggingface/transformers,12990,3281,8404,5815,2820,16752,328,33310,true
crewaiinc/crewai,12988,1650,3016,1806,950,14472,325,20410,true
sesameailabs/csm,12983,1201,18,64,195,13586,257,14461,false
onlook-dev/onlook,12968,951,3230,2205,758,13622,324,20112,false
browser-use/web-ui,12930,2292,126,334,547,14731,314,16229,false
