month,era,active_repos,active_actors,total_events
2022-01,2022-Q1,7114210,3656755,66846687
2022-02,2022-Q1,8266232,3567095,68687201
2022-03,2022-Q1,7793246,3926629,71229524
2023-01,2023-Q1,8558073,4015709,86748210
2023-02,2023-Q1,7248424,4169670,79518331
2023-03,2023-Q1,8987045,4423794,81113499
2024-01,2024-Q1,7418341,4551863,116168632
2024-02,2024-Q1,7331800,4555077,132206763
2024-03,2024-Q1,7874105,4955137,116005190
2025-01,2025-Q1,8083128,4989168,123473742
2025-02,2025-Q1,8327181,5228427,118898748
2025-03,2025-Q1,9027921,5683356,133995406
2026-01,2026-Q1,8107442,5063400,90009430
2026-02,2026-Q1,8268053,5121051,79627974
2026-03,2026-Q1,9595986,5854974,96301977
