repo_name,stars,forks,pushes,prs,issues,distinct_actors,active_days,total_events
codecrafters-io/build-your-own-x,110590,10193,12,101,266,115862,478,121162
deepseek-ai/deepseek-r1,87243,11299,19,84,1198,93947,451,99843
deepseek-ai/deepseek-v3,86032,14978,28,289,1282,95569,477,102609
n8n-io/n8n,83424,32654,32351,9209,10538,113341,479,168176
x1xhlol/system-prompts-and-models-of-ai-tools,80309,20000,276,151,172,92944,411,100908
unionlabs/union,79576,3413,5059,2296,514,72306,433,90858
digitalplatdev/freedomain,73767,971,25,31,6561,69933,463,81355
sindresorhus/awesome,71944,3706,35,229,249,73653,478,76163
openclaw/openclaw,71777,16283,13200,44249,21150,93309,91,166659
langflow-ai/langflow,66668,3051,17231,12588,2026,68031,480,101564
punkpeye/awesome-mcp-servers,61827,5497,1258,4639,296,65737,468,73517
browser-use/browser-use,60757,7471,3738,2976,2046,65357,476,76988
langgenius/dify,58430,9742,11855,10688,17101,66740,478,107816
open-webui/open-webui,55895,9638,3868,5315,5018,64527,477,79734
public-apis/public-apis,55739,5582,3,528,302,59500,479,62154
modelcontextprotocol/servers,55529,6610,889,2952,884,60570,477,66864
shubhamsaboo/awesome-llm-apps,55319,6939,257,415,172,59683,476,63102
google-gemini/gemini-cli,54949,6373,13170,7874,29224,62440,304,111590
ollama/ollama,48475,5065,3170,2288,5616,53988,477,64614
microsoft/markitdown,48221,3161,193,360,445,50239,477,52380
awesome-selfhosted/awesome-selfhosted,46286,1844,211,3,10,47182,477,48354
tapxworld/chinatextbook,44119,9044,5,45,140,49345,469,53353
openai/codex,43885,5272,22759,6507,11897,50015,373,90320
anthropics/claude-code,43870,4478,264,416,81623,60352,426,130651
mannaandpoem/openmanus,42706,7292,249,595,823,46542,266,51665
massgravel/microsoft-activation-scripts,41809,4079,152,28,556,44134,478,46624
inkonchain/node,40838,615,19,32,29,39853,277,41533
inkonchain/docs,40620,436,315,350,18,39927,306,41739
inkonchain/ink-kit,40402,405,60,61,6,39681,276,40934
vinta/awesome-python,40297,1775,101,294,0,41201,479,42467
obra/superpowers,39787,3043,122,211,477,42418,200,43640
trimstray/the-book-of-secret-knowledge,38947,1932,0,53,0,39900,479,40932
donnemartin/system-design-primer,38507,5129,8,65,75,41874,476,43784
affaan-m/everything-claude-code,37935,5223,1872,322,355,42417,103,45707
anthropics/skills,37683,3422,20,194,69,40611,195,41388
clash-verge-rev/clash-verge-rev,37350,2794,2084,796,4624,39940,478,47648
practical-tutorials/project-based-learning,37316,4974,0,60,30,40661,477,42380
infiniflow/ragflow,37244,4143,2431,6666,5503,40212,477,55987
yt-dlp/yt-dlp,36891,3275,564,1619,5147,40429,479,47496
microsoft/ai-agents-for-beginners,36574,11158,433,495,149,45080,432,48809
kamranahmedse/developer-roadmap,36048,3691,1667,1359,764,38607,472,43529
yeongpin/cursor-free-vip,35514,3947,377,184,1467,37910,338,41489
virattt/ai-hedge-fund,34859,6145,270,366,336,38547,475,41976
github/spec-kit,34375,2540,386,430,635,36466,240,38366
pathwaycom/pathway,33801,872,639,26,89,33155,474,35427
521xueweihan/hellogithub,33308,1120,38,11,277,33632,476,34754
hacksider/deep-live-cam,33271,4661,156,234,761,36516,476,39083
cline/cline,32711,3679,9549,5421,5263,36310,478,56623
astral-sh/uv,32678,1156,7358,5230,5340,35085,476,51762
rasbt/llms-from-scratch,32536,5229,399,361,127,36036,477,38652
unclecode/crawl4ai,32518,3696,536,394,1042,34957,475,38186
deepseek-ai/awesome-deepseek-integration,31325,3497,234,590,153,33330,470,35799
anomalyco/opencode,30778,3801,4954,5090,11241,36558,119,55864
pathwaycom/llm-app,30633,647,31,3,4,30069,465,31318
microsoft/generative-ai-for-beginners,30207,16652,356,561,133,43876,477,47909
cherryhq/cherry-studio,29806,2955,6647,4849,13266,33967,479,57523
ebookfoundation/free-programming-books,28306,2925,301,1031,169,30377,478,32732
linera-io/linera-protocol,28174,1702,4204,2178,706,27641,468,36964
upstash/context7,27515,1336,554,404,1552,28937,390,31361
zie619/n8n-workflows,26738,7365,40,72,90,32450,333,34305
jingyaogong/minimind,26699,2889,122,56,650,28072,476,30416
unslothai/unsloth,26541,2422,2920,882,2785,28896,476,35550
opencut-app/opencut,26531,2654,459,454,203,28321,306,30301
patrickjs/awesome-cursorrules,26463,2294,53,126,38,27734,473,28974
vllm-project/vllm,26433,5595,9557,24984,12739,34344,479,79308
comfyanonymous/comfyui,26267,3296,1555,1794,3769,30206,365,36681
torvalds/linux,25362,5306,836,523,0,29022,477,32027
daytonaio/daytona,25160,2019,3073,1389,481,25183,475,32122
ruanyf/weekly,24621,618,71,28,2278,25812,477,27616
immich-app/immich,24315,1524,13390,6132,4031,26711,477,49392
freecodecamp/freecodecamp,24247,4426,2990,7470,4248,27870,478,43381
ladybirdbrowser/ladybird,24046,1126,2558,5238,1066,24859,477,34034
huggingface/open-r1,23969,2324,708,442,451,25174,395,27894
harry0703/moneyprinterturbo,23701,3013,61,110,218,25490,476,27103
mlabonne/llm-course,23575,2610,14,7,21,25209,477,26227
anduin2017/howtocook,23366,1748,216,248,148,24170,475,25726
sst/opencode,23272,1725,4110,1832,5123,25403,229,36062
davidhdev/react-bits,23150,936,545,271,683,23703,476,25585
bytedance/deer-flow,23060,2824,602,760,689,24918,350,27935
mendableai/firecrawl,22813,2282,1817,992,378,24218,228,28282
avelino/awesome-go,22675,855,223,657,100,23214,477,24510
jwasham/coding-interview-university,22539,4373,0,27,48,25551,475,26987
langchain-ai/langchain,22515,3776,4494,9318,2549,26308,477,42652
opendatalab/mineru,22061,2028,955,1365,1913,23733,477,28322
9001/copyparty,21882,865,514,197,790,22576,448,24248
block/goose,21668,1812,12907,5648,2114,23263,455,44149
nousresearch/hermes-agent,21411,2776,2674,4656,1971,25022,65,33488
f/awesome-chatgpt-prompts,21240,2479,783,275,21,22848,386,24798
rustdesk/rustdesk,21233,8754,625,1464,1026,26667,477,33102
huggingface/agents-course,21017,1404,480,634,221,21603,435,23756
