repo_name,total_contributors,total_pushes,push_contributors,top1_pushes,top1_push_ratio,pr_contributors,is_ai
codecrafters-io/build-your-own-x,115862,12,3,5,0.385,77,false
codecrafters-io/build-your-own-x,115862,12,3,5,0.385,77,false
n8n-io/n8n,113341,32351,100,12086,0.374,822,false
deepseek-ai/deepseek-v3,95569,28,3,16,0.552,132,false
deepseek-ai/deepseek-r1,93947,19,5,7,0.35,53,false
openclaw/openclaw,93309,13200,72,5287,0.4,4069,false
x1xhlol/system-prompts-and-models-of-ai-tools,92944,276,1,276,0.996,74,false
sindresorhus/awesome,73653,35,1,35,0.972,134,false
unionlabs/union,72306,5059,12,1169,0.231,63,false
digitalplatdev/freedomain,69933,25,1,25,0.962,17,false
langflow-ai/langflow,68031,17231,54,3080,0.179,360,false
langgenius/dify,66740,11855,52,1997,0.168,828,false
punkpeye/awesome-mcp-servers,65737,1258,2,1241,0.986,1625,false
browser-use/browser-use,65357,3738,19,1482,0.396,462,false
open-webui/open-webui,64527,3868,3,3857,0.997,957,false
google-gemini/gemini-cli,62440,13170,104,2213,0.168,1160,false
modelcontextprotocol/servers,60570,889,21,229,0.257,1346,false
anthropics/claude-code,60352,264,26,169,0.638,231,false
shubhamsaboo/awesome-llm-apps,59683,257,3,253,0.981,133,false
public-apis/public-apis,59500,3,1,3,0.75,414,false
ollama/ollama,53988,3170,13,683,0.215,540,true
microsoft/markitdown,50239,193,3,181,0.933,153,false
openai/codex,50015,22759,203,4565,0.201,805,false
tapxworld/chinatextbook,49345,5,1,5,0.833,24,false
awesome-selfhosted/awesome-selfhosted,47182,211,1,211,0.995,2,false
mannaandpoem/openmanus,46542,249,10,157,0.628,206,false
microsoft/ai-agents-for-beginners,45080,433,10,146,0.336,73,false
massgravel/microsoft-activation-scripts,44134,152,3,138,0.902,22,false
microsoft/generative-ai-for-beginners,43876,356,8,150,0.42,77,false
obra/superpowers,42418,122,2,87,0.707,146,false
affaan-m/everything-claude-code,42417,1872,5,1370,0.731,132,false
donnemartin/system-design-primer,41874,8,1,8,0.889,51,false
vinta/awesome-python,41201,101,2,74,0.725,198,false
