
please see https://cloud.google.com/iap/docs/using-tcp-forwarding#increasing_the_tcp_upload_bandwidth

repo_name,category,library_name,hf_model_count,hf_total_downloads,hf_total_likes,gh_stars_2025,gh_forks_2025,gh_pushes_2025,gh_prs_2025,gh_issues_2025,gh_active_days
huggingface/transformers,framework,transformers,834591,1421767931,1216240,13095,3316,8483,5866,2840,332
ukplab/sentence-transformers,embedding,sentence-transformers,17515,519299026,55176,1588,156,122,237,263,285
rwightman/pytorch-image-models,vision,timm,2768,50668729,3278,,,,,,
pyannote/pyannote-audio,audio,pyannote-audio,97,44130929,6108,1506,129,131,95,78,324
huggingface/diffusers,diffusion,diffusers,103385,37292362,329961,3617,818,3079,1893,974,329
mlfoundations/open_clip,vision,open_clip,642,24777414,3666,1745,172,43,34,103,313
ultralytics/ultralytics,vision,ultralytics,720,17516769,3266,10865,2189,9180,2530,4474,330
ml-explore/mlx,framework,mlx,8754,12595212,11148,3857,288,1127,980,453,328
apple/ml-mxnet,framework,mlx,8754,12595212,11148,,,,,,
vllm-project/vllm,serving,vllm,877,10957117,30042,22697,4368,6698,15794,9495,332
coqui-ai/tts,audio,coqui,70,7072476,3944,5880,943,0,30,160,330
huggingface/peft,framework,peft,243358,3515979,8654,2529,346,224,484,288,328
speechbrain/speechbrain,audio,speechbrain,303,2679635,2045,1243,144,126,152,74,318
flairnlp/flair,nlp,flair,1785,1100587,841,306,26,157,82,161,218
flair/flair,nlp,flair,1785,1100587,841,,,,,,
mlc-ai/mlc-llm,inference,mlc-llm,686,309757,226,1805,199,180,171,203,320
keras-team/keras,framework,keras,4674,210165,728,1566,357,445,1374,614,329
pytorch/pytorch,framework,torch,166,132378,66,8351,2483,89880,31731,13801,333
espnet/espnet,audio,espnet,975,66986,927,758,144,212,366,342,314
explosion/spacy,nlp,spacy,919,57364,750,1834,179,45,53,67,325
huggingface/setfit,nlp,setfit,1576,28160,129,272,25,13,21,32,175
microsoft/onnxruntime,inference,onnxruntime,260,6360,252,2502,425,7272,3557,2473,329
huggingface/trl,training,trl,156,3094,290,4549,795,2560,1364,1044,328
maartengr/bertopic,nlp,bertopic,960,2830,151,690,79,42,63,76,276
tensorflow/tensorflow,framework,tensorflow,115,2186,23,5921,1388,44456,32829,1933,332
huggingface/optimum,inference,optimum,78,1897,9,423,97,557,285,204,281
facebookresearch/fairseq,nlp,fairseq,210,1433,601,1138,219,4,30,35,307
ggerganov/llama.cpp,inference,llama-cpp-python,25,894,20,4500,595,546,690,495,46
ollama/ollama,serving,ollama,11,241,9,44520,4462,2512,1841,4746,330
allenai/allennlp,nlp,allennlp,298,217,78,147,8,0,0,0,112
scikit-learn/scikit-learn,framework,scikit-learn,145,122,14,3005,1027,754,2271,764,328
paddlepaddle/paddlenlp,nlp,paddlenlp,61,36,48,581,136,728,2005,457,302
anthropics/anthropic-sdk-python,llm-tooling,anthropic,1,0,0,604,116,1227,239,121,320
huggingface/datasets,framework,datasets,1,0,0,1233,238,216,289,234,324
run-llama/llama_index,rag,llama-index,1,0,0,6168,938,1752,2417,2013,330
langchain-ai/langchain,llm-tooling,langchain,1,0,0,18480,3059,3653,5244,1613,330
