repo_name,total_stars,avg_monthly_stars,peak_stars,peak_ratio,months_active,is_ai
zama-ai/bounty-program,9921,901.9,9774,10.825010068465566,11,false
campsite/campsite,4346,395.1,3998,10.093642414505394,11,false
gar-b-age/cooklikehoc,11851,1077.4,10614,9.842690945877592,11,false
nvidia/cosmos,7517,683.4,6730,9.83395324123273,11,false
bytedance/monolith,4786,435.1,4280,9.814467375442986,11,false
deepseek-ai/flashmla,10877,1087.7,9822,9.021769082391843,10,false
oumi-ai/oumi,8068,733.5,6609,8.998514667656888,11,false
inkonchain/docs,40603,3691.2,32850,8.897178312897031,11,false
inkonchain/node,40834,3712.2,33007,8.889141877830824,11,false
inkonchain/ink-kit,40407,3673.4,32623,8.878544212974417,11,false
simplescaling/s1,6149,614.9,5386,8.74492612437084,10,false
microsoft/wsl,10453,950.3,8252,8.674694189602446,11,false
valvesoftware/source-sdk-2013,5044,458.5,3909,8.506231454005935,11,false
hedge-dev/xenonrecomp,5534,614.9,5210,8.459318058812917,9,false
openai/openai-realtime-agents,5963,542.1,4569,8.412956143287579,11,false
googlecloudplatform/kubectl-ai,5891,589.1,4963,8.410438908659549,10,false
suitenumerique/docs,12468,1133.5,9513,8.385527686513342,11,false
sesameailabs/csm,12997,1299.7,10839,8.333205197201506,10,false
cordx56/rustowl,4327,393.4,3272,8.296911018902719,11,false
kvcache-ai/ktransformers,13605,1236.8,10269,8.296048766157462,11,false
iamgio/quarkdown,5314,483.1,4007,8.27737089201878,11,false
composiohq/composio,12035,1094.1,8926,8.150921467707123,11,false
stepfun-ai/step-audio,4086,408.6,3318,8.1005859375,10,false
mannaandpoem/openmanus,42619,4735.4,37967,8.015928497701042,9,false
zyphra/zonos,6359,635.9,5092,7.994975663369446,10,false
hedge-dev/unleashedrecomp,3997,444.1,3534,7.939590614078882,9,false
google/pebble,4583,416.6,3286,7.868088811493252,11,false
deepseek-ai/janus,15273,1388.5,10903,7.846964145511646,11,false
deepseek-ai/deepep,7714,771.4,6060,7.845675815639566,10,false
microsoft/omniparser,16899,1536.3,12024,7.821643997634536,11,false
heyverse/hey,5269,526.9,4099,7.7647281682136775,10,false
kern/filepizza,4551,413.7,3212,7.744848750548005,11,false
lynx-family/lynx,11924,1324.9,10255,7.734433922735271,9,false
shardeum/shardeum,5878,534.4,4137,7.727457972491085,11,false
dzhng/deep-research,16293,1629.3,12514,7.675887873397534,10,false
deepseek-ai/deepgemm,5286,528.6,4061,7.668051359516616,10,false
microsoft/typescript-go,19704,2189.3,16731,7.638563384568558,9,false
kuchin/awesome-cto,5153,468.5,3581,7.628001549186677,11,false
straymeteor3337/wechatrealfriends,4918,491.8,3745,7.599431818181818,10,false
mozilla-firefox/firefox,8352,835.2,6347,7.590289404448696,10,false
tabbyml/tabby,9373,852.1,6465,7.578324808184143,11,false
nickscamara/open-deep-research,5541,554.1,4203,7.571608719149703,10,false
samuelschmidgall/agentlaboratory,4692,426.5,3223,7.538379757601531,11,false
camel-ai/owl,16287,1809.7,13517,7.46520618556701,9,false
grapeot/devin.cursorrules,5366,487.8,3638,7.442440022317277,11,false
xming521/weclone,12889,1171.7,8548,7.288992248062016,11,false
louis-e/arnis,6624,602.2,4383,7.26646571213263,11,false
tapxworld/chinatextbook,41394,3763.1,27315,7.256732278710301,11,false
ggerganov/ggwave,4604,418.5,3042,7.250704225352113,11,false
xpipe-io/xpipe,7276,661.5,4786,7.224646630986689,11,false
sammwyy/mikumikubeam,4803,436.6,3156,7.211466555878688,11,false
deepseek-ai/deepseek-llm,4664,424.0,3053,7.183529411764706,11,false
elizaos/eliza,9019,819.9,5856,7.133554817275748,11,false
ibttf/interview-coder,5909,537.2,3816,7.090540540540541,11,false
moeru-ai/airi,9192,835.6,5919,7.074758231011627,11,false
deepseek-ai/open-infra-index,7342,734.2,5126,6.972252448313384,10,false
juliangarnier/anime,12093,1099.4,7536,6.848645076007932,11,false
pennyroyaltea/gibberlink,4100,410.0,2808,6.8321167883211675,10,false
liam-hq/liam,3877,352.5,2407,6.809927983539095,11,false
al1abb/invoify,3855,350.5,2381,6.774702534919814,11,false
sparkaudio/spark-tts,9412,941.2,6343,6.732116323498196,10,false
deepseek-ai/deepseek-v3,84996,7726.9,51693,6.689131483289612,11,false
elie222/inbox-zero,5104,464.0,3109,6.686021505376344,11,false
richards199999/thinking-claude,5258,478.0,3193,6.665970772442589,11,false
rustfs/rustfs,6291,571.9,3788,6.611869247857824,11,false
om-ai-lab/vlm-r1,5143,514.3,3401,6.6000388123423255,10,false
zijie0/humansystemoptimization,4936,448.7,2954,6.568425308267637,11,false
zuodaotech/everyone-can-use-english,3973,361.2,2377,6.563002008032129,11,false
deepseek-ai/smallpond,4364,436.4,2864,6.547782350251486,10,false
mfontanini/presenterm,4520,410.9,2696,6.545133524608254,11,false
camel-ai/camel,7506,682.4,4463,6.530929892244246,11,false
srbhr/resume-matcher,12408,1128.0,7369,6.527015057573074,11,false
remoteintech/remote-jobs,6115,555.9,3621,6.501958863858962,11,false
vllm-project/aibrix,3849,384.9,2509,6.501684374190205,10,false
kavishdevar/librepods,6366,909.4,5903,6.483759610858308,7,false
voideditor/void,15488,1408.0,9121,6.4733853797019165,11,false
stanford-oval/storm,12255,1114.1,7217,6.472118049894016,11,false
microsoft/data-formulator,10687,971.5,6285,6.462422882781829,11,false
khoj-ai/khoj,13325,1211.4,7809,6.441136772645471,11,false
deepseek-ai/deepseek-coder,14383,1307.5,8417,6.432332916492983,11,false
getasterisk/deepclaude,4904,544.9,3474,6.363932424180745,9,false
ubicloud/ubicloud,4771,433.7,2751,6.32810539523212,11,false
t3dotgg/stripe-recommendations,4095,372.3,2346,6.284948855333658,11,false
deepseek-ai/deepseek-r1,86759,7887.2,49387,6.26088509853636,11,false
antiwork/gumroad,6429,803.6,5032,6.2538449588317535,8,false
krillinai/krillinai,7005,875.6,5469,6.238699557963781,8,false
ahujasid/blender-mcp,12153,1350.3,8352,6.180562407498767,9,false
nikmcfly/anus,5672,810.3,5009,6.174150378587779,7,false
ai-dynamo/dynamo,4589,509.9,3133,6.132448890822096,9,false
dyad-sh/dyad,10182,1131.3,6830,6.031792758316162,9,false
nari-labs/dia,15975,1996.9,12048,6.0304073077644995,8,false
zju-llms/foundations-of-llms,9877,897.9,5410,6.018406148867314,11,false
jina-ai/node-deepresearch,4346,434.6,2609,5.989439853076217,10,false
moonshotai/kimi-audio,3863,482.9,2894,5.980883492637561,8,false
henrythe9th/ai-crash-course,4445,404.1,2420,5.973967684021544,11,false
huggingface/agents-course,19808,1980.8,11797,5.95266929054395,10,false
ngxson/smolvlm-realtime-webcam,3873,553.3,3287,5.9301546391752575,7,false
glanceapp/glance,17209,1564.5,9257,5.913298490127758,11,false
lllyasviel/framepack,14032,1754.0,10333,5.887749287749288,8,false
huggingface/open-r1,23819,2165.4,12739,5.880360889634914,11,false
n4ze3m/page-assist,4974,452.2,2662,5.874022066198596,11,false
hpcaitech/open-sora,4435,403.2,2367,5.8562753036437245,11,false
deepseek-ai/awesome-deepseek-integration,30652,2786.5,16238,5.82519649088478,11,false
plait-board/drawnix,7544,685.8,3985,5.802117802779616,11,false
sansan0/trendradar,13950,1992.9,11494,5.764705882352941,7,false
crestalnetwork/intentkit,6200,563.6,3252,5.759459024311705,11,false
openbmb/minicpm-o,7048,881.0,5024,5.696145124716553,8,false
