modelId,author,pipeline_tag,library_name,downloads,likes,lastModified
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,sentence-similarity,sentence-transformers,210971565,4719,2025-03-06T13:37:44+00:00
Qwen/Qwen3-VL-2B-Instruct,Qwen,image-text-to-text,transformers,98836433,372,2025-10-23T11:30:44+00:00
google-bert/bert-base-uncased,google-bert,fill-mask,transformers,60494282,2632,2024-02-19T11:06:12+00:00
google/electra-base-discriminator,google,,transformers,47967344,95,2024-02-29T10:20:20+00:00
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,sentence-similarity,sentence-transformers,36496231,1208,2026-01-28T10:02:26+00:00
sentence-transformers/all-mpnet-base-v2,sentence-transformers,sentence-similarity,sentence-transformers,34385340,1281,2025-08-19T10:14:25+00:00
Falconsai/nsfw_image_detection,Falconsai,image-classification,transformers,32943712,1057,2025-04-06T13:42:07+00:00
cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder,text-ranking,sentence-transformers,26976547,222,2025-08-29T14:36:10+00:00
BAAI/bge-small-en-v1.5,BAAI,feature-extraction,sentence-transformers,24175616,446,2024-02-22T03:36:23+00:00
openai/clip-vit-large-patch14,openai,zero-shot-image-classification,transformers,21007735,1996,2023-09-15T15:49:35+00:00
